yConc1,yConc2,yConc3,xAbsorbance1,xAbsorbance2,xAbsorbance3,xAbsorbance4,xAbsorbance5,xAbsorbance6
0.89,0.02,0.01,18.7,26.8,42.1,56.6,70,83.2
0.46,0.09,0.24,31.3,33.4,45.7,49.3,53.8,55.3
0.45,0.16,0.23,30,35.1,48.3,53.5,59.2,57.7
0.56,0.09,0.09,20,25.7,39.3,46.6,56.5,57.8
0.41,0.02,0.28,31.5,34.8,46.5,46.7,48.5,51.1
0.44,0.17,0.14,22,28,38.5,46.7,54.1,53.6
0.34,0.23,0.2,25.7,31.4,41.1,50.6,53.5,49.3
0.74,0.11,0.01,18.7,26.8,37.8,50.6,65,72.3
0.75,0.01,0.15,27.3,34.6,47.8,55.9,67.9,75.2
0.48,0.15,0.06,18.3,22.8,32.8,43.4,49.6,51.1